text,label,google,ckip
超級忙碌的工作真刺激[哈哈],1,1,1
很好，我很喜歡，送貨快,1,1,1
"[good]//@AD自耕農: [哈哈]好趨勢。//@李農Beijing:@AD自耕農 @鄭治 我越來越覺得我們要做的事，整個是拉動內需呀，肯定行....@隗公程_Barry 現在就看你們的啦....//@畫鬍子: WOW 難以想象!之前聽到最多的是網絡營銷部分,沒想到大選對CRM的運用到了如此地步",1,1,1
回覆@小肥King是惡魔耶:米兔[哈哈] //@小肥King是惡魔耶:[握手] 我用的是360， 你的呢？ //@海南旅遊達人阿九姑娘:[偷笑] 基本是看時間、擊敗數，然後點右上角交叉。。。,1,1,1
給老媽買來看視頻的，還不錯，挺流暢的，就是黑邊感人,1,1,1
北京歡迎您[鼓掌],1,1,1
小萌雞小萌雞！！[親親],1,1,1
很滿意的一次購物！京東商城，京東快遞都很給力！收到的貨物外包裝完好，裏面的寶貝也完好無損，特別感謝配送員趙先生！,1,1,1
我的男生朋友們，好好看看，很實用。[抱抱],1,1,1
產品經理的形象太生動了。[抱抱],1,1,1
好吧。吵一天了，我終於想起來何老師請客的典故了。是@程浩 浩哥說俺們學校的飯菜好喫引起的吧。請你們，@七妙 @年年二十五 @程浩 食堂走起[哈哈]歡迎@小柳菁兒 @東子愛拍的 @網際飛俠 @攝影師火牛 一同前來，那咱就去學校高端大氣上檔次的餐廳，海底撈大學嘛，要啥有啥[噓][哈哈]#欣愛旅行#之可愛滴人,1,1,1
現在我們每天都會與作者和出版社合作送書活動，給“多看閱讀”的讀者以更多福利！//@多看閱讀: 看謠言，猛點http://t.cn/zYS9HYJ 欲知更多謠言！轉發微博或直接購買[嘻嘻],1,1,1
1.從下單到提貨，24小時之內完成，京東的速度很讓人滿意，贊一個。 2.第一次在京東買東西，總體還滿意，但京東的提貨處工作人員的着裝有待提高。 3.機器很好用，沒任何問題到目前爲止。 4.整個安裝時間4小時，沒碰到任何問題，很意外。。。,1,1,1
我愛新片[愛你],1,1,1
蘋果包裝完好，喫起來香甜可口！,1,1,1
褲子真心不錯，一直都穿這個牌子的，質量真心好，好舒服，穿着帥氣大方，一級棒，還送小禮物呢，挺滿意的一次購物，朋友看了也很喜歡喔，我還很自豪地介紹他們來買了，相信下次還會再來的，祝店家生意興隆。,1,1,1
好喫好喫，非常好喫的一種蘋果，以後還會繼續買。。。。。。。。。,1,1,1
設計的方方正正，鍵盤很好用，是款商務本 散熱不錯，連續用5個小時，風扇也不蜂鳴。 性價比不錯，512顯存，我做flash設計沒問題。,1,1,1
三天的假期大家都紛紛回家啊。有這三天我寧願用來睡覺。。省來回的路費，省旅途的勞累。。多經濟划算啊。。[哈哈]想來其實不回家也有事情要做，閒不住了，這樣不好。。[委屈]#欣在自說自話#,1,1,1
哼！！！哈哈 哪有無數個名字啦？！都怪我瓜西西的把地址搞掉了 [嘻嘻] //@XIAOKUANXIAOKUAN:我以爲是專門給我得結果上面寫了無數個名字！ //@sameskin:哇好美 有我的嗎？我不是已經收到一張紙片的~,1,0,1
黑白藍三種色調的搭配，有你喜歡的麼？[愛你]【私享穿衣顧問微信：FashionTalent33 】,1,1,1
褲子質量真的很好，價格也很便宜，買之前我問了客服，客服推薦的也很合適，謝謝^ω^,1,1,1
這鞋子真霸氣[哈哈],1,1,1
我的維尼公主！你實在太乖了！讓你幹嘛你就幹嘛！第一次這樣仔細看你實在是太激動了！@馬_小川 [愛你],1,1,1
回覆@LeOLeElr:因爲智商[嘻嘻] //@LeOLeElr:是什麼讓他們這樣看我們。。。 //@小虎同學tiger:回覆@Lucy-燕子:二比快樂多啊，你看彎彎多快樂[哈哈]  //@Lucy-燕子:難道他們大部分人真的這麼認爲嗎？,1,1,1
我並沒有實際前往，而是幫我經理預定的。但是我經理回來對這個酒店評價還可以，和我說NO BAD，我想應該還是可以的了。,1,1,1
早起的感覺很不錯嘛[哈哈],1,1,1
這本書看上去陣容十分強大，名家著作，名家推薦粗略翻了一下，總體感覺還是缺少一些必要的信息比如對於一個作曲家，重點介紹其代表作品的同時最好也列出其全部作品目錄作爲一本普及型的入門教材自然無法要求其內容深度，但本書在廣度上似乎也有點欠缺吧不過已經比很多書好了。另外隨贈的cd是片段節選，基本沒用。,1,0,1
原來剛剛接觸杜拉拉的時候，不知道人力資源是個什麼東西，現在我以及決定考人力資源專業的研究生了，當然不只是因爲杜拉拉，而是我發現了我對人力資源的濃烈興趣。2也是一樣的好，像1一樣。講述了職場的喜怒哀樂，或者身不由己，雖然我現在還沒有步入社會。但是已是完全的社會人。世俗的想法，圓滑的做人技巧。還有身邊的人的影子，都能在杜拉拉里面找到一個類似的人,1,1,1
這個價位，物超所值了，媽媽追劇好裝備。,1,1,1
今天剛收到貨，很香。價格當然是不用說的實惠，晚上試試效果。過幾天我會再來追加評論的。希望不會讓我失望纔好。,1,1,1
1、馬來西亞吉隆坡2、臺北101高3、方大同的小小蟲//@百度旅遊: #我照你猜# 猜猜看~ 1、這是哪個城市呢？2、它和臺北101誰高？3、你最喜歡方大同哪一首歌~ 猜中有獎！[耶]老規矩~ 關注 @百度旅遊 ，轉發此微博並在明天12：00前寫下答案，全猜中的盆友就有可能獲得百度旅遊限量版明信片套裝哦！~[嘻嘻],1,1,1
畢業快樂[可愛] //@劉思雨Jerry:恭喜海音畢業，今天有幸被邀請去參加典禮，認識了不少新朋友，雖然極度困，但是還是感覺非常充實，一起加油！既然選擇前方，就註定風雨兼程！@四水歸堂攝影創意,1,1,1
還不錯。老人家用來看電視挺好。,1,1,1
口感非常非常非常好 ，京東真的值得信賴！ 強烈推薦大家購買 這纔是真正的好蘋果 ，超市買不到的。,1,1,1
[哈哈]//@katiexixi: @帥太 @楊仔and媽媽 @大可-逸而全真 @方達Fangterry @??嘉-無常-不?-?喜 @xjoliemonica @小張爺 @張丹Polonana,1,1,1
現實版地下工作者[哈哈] //@張醒生:這個真實段子精彩!//@書畫家作家陳祖芬:！！//@富敏榮律師:呵呵,1,1,1
"#搶房券#: 贏取一份5天的北京之旅房券，就趁現在[太開心]#女人節有獎轉發#贏取位於#北京王府井#的@北京國際藝苑皇冠假日酒店 #五晚住宿房券#(含早餐和網絡服務)[鼓掌]您可臨近遊覽紫禁城(故宮)皇家園林(北海、景山)更可到王府井商業步行街Shopping並品嚐北京小喫 如此誘人的獎品,還不行動 [得意地笑]",1,1,1
別扯馬蘇裏奶酪了好麼，在家樂福能買到蒙牛巧克力味早餐兒童奶酪就不錯了好麼！買到伊利煙燻味奶酪我都哭了好麼！,1,1,0
嘖嘖 //@竹林江語:春運帝國 // @空遊無依 ://  @邢其林  : [哈哈]//  @秋木葉鞦韆  : 有道理“尼瑪設計師跑中國來，定是趕上春運了！！！！”,1,1,1
有命就可以創造一切[偷笑][偷笑]您說呢 //@全球奇事趣聞:你會選什麼？[嘻嘻],1,1,1
親愛的，太愛你們了，麼麼噠[親親],1,1,1
準時，味道也好，餐盒包裝好，五星好評,1,1,1
這個味道我很喜歡，包裝不錯，是正品，親們可以放心購買。,1,1,1
回覆@日本評論:[哈哈][哈哈][哈哈] //@日本評論:@馬劍是誰 //@侯寧:誰還春困？快來提提神！[抓狂],1,1,0
回覆@鄧元釗:?老子的，啥叫都不是外人？莫非你?是我?人嗦？真所?：羞已知道你，你?不知羞。[哈哈][哈哈][哈哈] //@鄧元釗:你想給秧白表白點啥子用不作把老子拉來墊背薩，都不是外人,1,0,1
8月9日至10月13日，上海環球金融中心將在4樓展廳推出“3D趣味寫真館”，奧特曼、櫻桃小丸子、名偵探柯南這三大喜聞樂見的卡通形象將實現世界首次同臺競演。展覽的營業時間爲上午10點至晚上9點，成人票價60元，1米4以下兒童票爲30元。妙趣橫生的室內活動，同學們快MARK！[鼓掌],1,1,1
【#天天向上錄製直擊#】汪涵：觀衆就是我們的衣食父母...  錢楓：爹~媽~ 觀衆：誒......   [嘻嘻][哈哈][哈哈][哈哈],1,1,1
喜歡這個黑皮衣，mark下地址~[太開心],1,1,1
早呀！[哈哈]//@Xinjiletu2012:@kk3_kay @斯琴格日樂歌迷會 @斯琴高娃mongol @河邊河邊邊,1,1,1
#小米在美國#看看美國的城市小菜市場都賣啥？各種新鮮的食材大多按小盒或小筐賣[調皮]很像隆福寺早市搓堆兒賣東西！初秋的美國收穫季節，這景色能不心情好嗎？生活其實就是簡單的幸福[調皮]一家人一起買菜做飯，喫飯。[饞嘴]看着孩子一點點長大，自己一點點變老！！！[愛你],1,1,1
我是戰神，@男人裝 得這圖片不錯！[嘻嘻] //@張小婉Vivian:哈哈哈！！改天打個架試試……,1,1,1
"葉海花,不是絕色美女,用心用情,認真的活,認真的愛,不管不顧,只爲了自己的心,而不是其它的雜物!而云崢給了她一個女孩子能得到的最好的愛情,寬容,尊重,寵愛.沒有教育和改造,這是一份書中才有的愛情吧!",1,1,1
酒店位置好，環境可以，房間就是小了點，不過出差住在這裏是很不錯的選擇。,1,1,1
長期大量招聘廣告人才[偷笑][偷笑][親親]，工作地點北上廣，有意的私信我哈[抱抱],1,1,1
是大掌櫃的給俺準備的＂勞動節＂禮物，無限開心中... [親親],1,1,1
還真是這樣的@哥哥叫Jessica @叮?叔叔 //@鳳凰劉建東: 看來你的不夠三條//@薩博slinna: 能有其中三條我就知足[哈哈],1,1,1
"酒店不錯,已多次住過,同等價格下次還會入住.",1,1,1
"我是4月3日去的,人比較小,在前臺要特別說明纔拿到向山景方向的房間.從房間的陽臺望出去的風景真是太美了,房間的裝修開始陳舊了.早餐的種類算比較多,不錯。溫泉裏的服務也很好,溫泉池也比較乾淨.有時間的話我還會到這裏度假(一定要選在非節假日).賓館反饋2008年5月29日：酒店分爲山景與河景兩個方向，都很美麗，透過180度大陽臺，可以欣賞到外面美麗的自然風景，歡迎您下次光臨！",1,1,1
[偷樂] //@梁徵-影像-生活:[嘻嘻][嘻嘻]這個必須要轉滴，還有我的背影呢@手邊巴黎urruolan @XMAN_宗介,1,1,1
地理位置客房狀況都不錯。前臺服務需要加強，缺乏靈活性，不能從客人的角度來思考問題。沒有接觸其他的服務，可能整體的軟環境都存在較大的提升空間。,1,0,1
非常可口，油量剛剛好，美味佳餚,1,1,1
屏幕和想象中差不多大，玩遊戲，看電影很過癮,1,1,1
站在窗邊看日出[太開心]廈門早安,1,1,1
[嘻嘻]讓記憶像藍天一樣明媚！[陽光],1,1,1
尋常小餐館，鴨梨大大，擔心期望高以致失望哦，明天，您會是哪位？[嘻嘻]...,1,0,1
[呵呵]//@Incredible誠: @Olivia琬越Xi 上微博了啊 //@重慶旅遊:#帶着微博去南岸#南岸鬧市中還有很多象這樣很有情調的地方。在@鄧麗君主題音樂餐廳酒吧 聽着老歌喫着美食，還有一羣新結識的朋友。大夥兒又餓了嗎？[哈哈],1,1,1
一天中至少接觸到一件他家的產品。[哈哈] //@張?Sunny:擁有200+家公司，30000+種產品，全面包含電子，食品，服飾，家居，化妝品，地產，運輸，飛行，技校學院等等絕絕對對貨真價實的泰國銷售王國的掌門人啊,1,1,1
房間還算乾淨。環境也不錯。設施什麼的也不錯。,1,1,1
別急，漸入佳境了！[哈哈],1,1,1
表揚[鼓掌]，配杯子蛋糕咩？,1,1,1
[可愛] 很高興你喜歡我們的牌子。我們在上海@CHALKBOARD粉板童品 (10秒前) //@威少和SACHA遊記:很棒的童裝。中國元素不是簡單地拼湊進去。上海哪裏有得買？ //@tangroulou:,1,1,1
俺們魔羯很低調啊[鼓掌]@自由島馮暉 @時尚貓V@女丑女美@Cindiddy    @大眼的貓是妹妹小y //@劉芸:我和毛主席同天生日，同是湖南人 @呂一  :我們摩羯的代表人物 偉大領袖毛主席 是個名副其實的摩羯男！  @郭珍霓      @劉芸     @晨辰      @界慶     @我是臺灣攝影師大寶   摩羯狂人們請低轉,1,1,1
西西里歷史上被不同政權統治過，因此，擁有衆多不同時代的歷史文明印記。比希臘本土的希臘遺蹟更多，比土耳其的拜占庭文化更具特色。 //@傅曉虹Kelly:[鼓掌]好地。。,1,1,1
"不錯,好喫",1,1,1
經常訂他家飯很好喫，,1,1,1
到家，菲爸煮了醬油鴨，多下來的鴨油炒青菜[哈哈],1,1,1
轉運。。。[愛你],1,1,1
[鼓掌]翠竹林海,1,1,1
"[哈哈]//@李開復: 國家大劇院即興表演,影后Meryl Streep朗誦,馬友友配樂。絕妙的演出後,雙方彼此稱讚,從鞠躬、屈膝、下跪、磕頭、到徹底趴到地上！[喫驚]",1,1,1
東西好喫，包裝也仔細，送餐很快！,1,1,1
[鼓掌][鼓掌][鼓掌][奧特曼],1,1,1
這次去大理，入住這家酒店，整體感覺很好，白族姑娘服務不錯，房間也不錯呀！還算乾淨！交通也方便！！贊一個！！,1,1,1
相對其他品牌來說我更喜歡小黑，磨砂的殼，很有質感，不容易留指紋，散熱就不用說了，很ok的！預裝的VISTA個人是很喜歡，不過兼容性太差，沒轍只能換XP！,1,1,1
有郎扶郎…無郎扶牆…平安大道不不平安，郎園店裏木有郎[哈哈] //@ellieddd:又去了,1,1,1
房間很乾淨，就是有點小。服務不錯，服務員都很樂意幫忙。早餐也很棒，有很多廣式點心。就是嘉善的計程車司機太黑了，大家打車前記得跟前臺問清楚路線,1,1,1
蘋果是脆的，有點小，核相對也比較小，感覺口感還可以，比超市便宜，新鮮度差不多。,1,1,1
總體感覺還算不錯 環境也還算可以 下次有機會可能還來,1,1,1
去鄭州好幾次，都在這裏住。有一次免升，住大堂左側一層的房間。酒店很安靜，服務也好。前臺小姐雖然不漂亮但服務很到位。退房速度極快。下飛機來酒店時免費班車，退房後去機場要付費。下次來就住這裏。,1,1,1
送餐速度挺慢，蓋飯分量小，兩份估計都不夠吃，不過還是好評,1,0,0
寶貝質量不錯，款式時尚，做工精細,1,1,1
性價比高。手感好。質量不錯。和描述的一樣。,1,1,1
回覆@一路格桑花25:謝謝～你們的支持是我前進的動力[太開心] //@一路格桑花25:曉婷，我關注你已經有快十年的時間啦。從你那年上湖南電視臺汪涵和馬可主持的越策越開心開始，我就我就特喜歡你了。我是你忠實的粉絲，永遠愛你,1,1,1
我喜歡！各位們喜歡不？@一點點小林 @快樂王小秋 @李小妮 @小米表姐  //@心必女:我喜歡大董和大董的意境菜.....哈哈哈[可愛]  //@一點點小林:我也喜歡大董~~~那裏的菜餚。。   //@大董大懂:  //@古清生:俺覺得是因爲大董帥。。  //@心必女: 有深度的話。@大董大懂,1,1,1
不錯、挺滿意的、買了兩件、速遞也快,1,1,1
我的愛瘋裸了好長時間了，花紅綠柳的季節給它也搞個玫紅外套穿穿，美麼？！[太開心]@兔兔妞的店,1,1,1
看過《活着》一書，在催人淚下之餘，深感生命的脆弱和世事無常。主人公福貴雖歷經磨難，但是他從不向命運低頭，也從不抱怨生活，以頑強的姿態繼續生活，這種精神值得我們每個人來學習。正如書中所言：“人是爲了活着本身而活着，而不是爲了活着之外的任何事物所活着。”所以，不管遇到多大的災難、多少的痛苦，我們都應該選擇勇敢、堅毅、頑強的活着！因爲活着真好！,1,1,1
昕昕，房姐姐說沒問題哦！[偷笑] @房卉林 @藝龍團購 //@吳昕: 行吧，@Iris_he 小紅，這套裝備我看到啦[偷笑] 我地址你有哈[親親] 你懂的呀,1,1,1
很好，物美價廉，只是拿來讀書，完全夠了,1,1,1
又敗了，今天肯定心情很好[鼓掌] //@PennyMeng_大白:踢不爛的羽絨服到手，我爪子快，爪子快，剁不到呀剁不到，耶耶耶[江南style],1,1,1
划算。繼續支持京東。好用啊！,1,1,1
胃不好的多學學~~[可愛],1,1,1
包裝很結實！蘋果很新鮮！味道也不錯！好喫,1,1,1
到貨啦^o^首先阿芙家太細心了包裝很謹慎老爸說從50層樓扔下來都沒問題打開後喔！除了買的東西送了一大堆?都很有意思開運瓶送了兩個都特別漂漂這個週日好開心[愛你]@AFU阿芙 @阿芙粉絲羣,1,1,1
雪姨纔是真女神，裏們的膝蓋還好麼。。。。[哈哈],1,1,1
到貨了，到貨了，看曉亞姐@猴兒亞亞 可實誠的發來了一個不小的箱子，我還以爲誰過完年給我送禮呢[嘻嘻],1,1,1
很不錯哦，就是中轉速度磨嘰死了！,1,0,1
你說，這東西現在上哪找去。可是姐姐還是找到嘞。拿什麼跟我換？[嘻嘻][嘻嘻]@樹葉的飄落是隨風而落,1,1,1
感覺外觀不怎麼好看，系統界面也需要重新設計，但功能正常，還是給過,1,0,1
just sleep[嘻嘻]//@慧小左: 哈哈@胡胡-楊倩 @??嘉-不?-?喜 @徐匕禾? //@清盈的風: //@搞笑萌寵秀:當你離家後，你的寵物會幹什麼呢？？？,1,1,1
第一次買這個牌子用，聽別人介紹的，很好用，就認準這個牌子了！是正品！,1,1,1
[汗][汗][汗]我承認，從開始玩DVD收藏到玩偶收藏以來，我一直就是包裝黨的忠實一員，更徹底的來說是不折不扣的外貌協會的！[酷] 看到這一桌的各種包裝袋，封口貼和牛皮紙袋紙盒，各種激動啊！[嘻嘻] 看來做出來的東西必須好，要不然這些包裝可不搭哦！[哈哈][哈哈][哈哈],1,1,1
@胡濱微博 @熱點紅姨 @熊麗電臺 最辛苦！再祝美食節成功！收穫多多！//@熱點紅姨: 大家都很辛苦！//@譚昱君: 帶回家很多好喫的東東[饞嘴][贊]開幕式很成功！滿場都是美食和美女呀，既飽眼福又飽口福呀！[愛你]//@胡濱微博: 好美食大家分享,1,1,1
"晚上到的深圳機場，打的到酒店半個小時左右，120塊的樣子.酒店CHECK IN 還算快.但是很奇怪,晚上睡覺的時候總有""的,的,的""的聲音,是從窗戶那裏傳來的,仔細檢查了下，發現窗戶是關的好好的,哪裏來的聲音也不知道.酒店的洗澡水很大很足,就算12點以後也還是那樣,不錯.就是CTRIP的預定有點問題，說提前7天預定可以拿到590的價格,我提前了10多天預定的，最後在出發前查了一下，就算提前一天也是同樣的價格,感覺有點上當受騙的感覺,CTRIP現在也開始對客戶耍手段了.我香港的是九龍萬麗,幸虧我是自用萬豪的網上預定,同樣的行政樓層,CTRIP要比萬豪貴100多HKD.看來，以後是要多多比較比較了,CTRIP也不一定會是我的首選.",1,0,1
送錯了，店家重新補送了一份，不錯~,1,1,1
[鼓掌]共鑲盛舉！//@海喫海喝找海哥:廚界華山論劍！,1,1,1
共勉[嘻嘻],1,1,1
愛做菜的的男人大多智商高，還等什麼呢！！！ //@金字火腿官方微博: 男人最帥的瞬間：做菜、做菜、做菜！[哈哈],1,1,1
兄弟，我證明你是個與事件雙方無關的普通涼茶消費者，在非飲料行業的世界五百強企業裏有分正式的工作，罵你是水軍的顯然找錯了攻擊對象，[哈哈][哈哈][哈哈][哈哈],1,0,1
大家一直關心的華僑城直達專線已經在東部客運站等你來咯[耶]經小僑親身體驗舒適安全，快速直達[嘻嘻]每日往返4個班次，週末及節假日還有臨時班次[心],1,1,1
"【#蒼井空#談擇偶：喜歡#王寶強#這一款[喫驚]】""宅男女神""蒼井空受訪暢談自己的擇偶標準，她是這樣說的：喜歡王寶強類型的男生，不喜歡冷漠花美男....[哈哈][偷笑][抱抱][鼓掌]#誰在說你長的像王寶強 你就感謝他祖宗八輩吧# ....http://t.cn/zRc4SUc",1,1,1
#午後小憩#內蒙古-呼倫貝爾，草兒都綠了，讓我們來先睹爲快吧！！[鼓掌],1,1,1
提前祝我所有奶奶輩，叔叔輩，平兒輩的親朋好友，雙節快樂，笑口常開，圓圓滿滿啦…[哈哈][親親][月亮]Leo201Day…???,1,1,1
//@減肥娃娃:[哈哈] 浪漫的巧克力[哈哈],1,1,1
這樣悶熱滴天氣裏，最好滴方法就是把自己泡在涼爽滴水裏，一邊遊一邊想着果菇涼下午寫的“墨寶”，自己就偷着樂，差點嗆水。遊了600米就木有力氣了，稱體重瘦了五斤，開心哈哈，樓下滴花花好清新哦，剛下班滴李姐幫俺帶回爽口滴蕎麥冷麪，美美[親親]  @深藍曉李 @沁藍LY @六零兒 @路燈攝影,1,1,1
這名號有點雜啊……[哈哈],1,0,1
這跟小平有半毛關係//@遠古的刀:我愛王菲 // @餓食伊 :[哈哈]//  @王星WX  :我愛陳奕迅！,1,1,1
#蒙牛純牛奶# 新包裝感覺還不錯。,1,1,1
//@VV良家族寶哇: 好?西！??分享！#??良#//@水豬1130:謝謝博主[愛你],1,1,1
韓國範兒思密達。@yekinki [嘻嘻],1,1,1
回覆@天下空:窩是上海巴子[哈哈][嘻嘻] //@天下空:你跟@寧財神 是家鄉人？,1,1,1
網易跟帖很多網友都是很有才的。//@馬志海: “誰欺負這個國家的人民，誰就必須滾蛋”。擲蛋有聲，贊一個[哈哈],1,1,1
褲子看起來還不錯，但有點褪色,1,1,1
"站點不錯，推薦。,小pizza我一人喫一張正好",1,1,1
你那肉有價無市！ //@餓滴個親孃:其實俺挺值錢的，身上的肉肉如果換成市價，值不少錢呢。。。。[哈哈][哈哈],1,1,1
[哈哈]本本，你淘氣！[哈哈],1,1,1
剛剛轉的冰淇淋微博讓我想起了快本。順便科普個 快本時某人喫的第幾個冰淇淋我忘了。。好像是第一個。就那個棕色的。那個雪糕是蒙牛 奶磚雪糕 超市裏超常見，真心特別好喫。最主要的是便宜哈哈。好吧，我承認我無聊了。。,1,1,1
和諧社會啊[哈哈],1,1,1
紐約！紐約！這個要是不考＂託福＂就美了！@姚晨 @黃渤 @隋蘭 @杜淳 //@紐約電影學院:回覆@餘思潞: 哎呀餘思潞吶！ 感謝捧場！校友們都回來了！ 謝謝大家了！@黃小蕾 @新澤兮 [哈哈] //@餘思潞:有空一定去重溫下母校的瘋狂。[暈]@黃小蕾 @新澤兮 要不要結伴同狂？[嘻嘻],1,1,0
去年買了幾本書居然都是漢唐的，挺不錯。 //@朱學東:俺正失業。。。[嘻嘻] //@悠悠耕讀:回覆@嚴彬拉夫:哈哈，嚴兄若是能來，求之不得。只怕我們收不起哈。嚴兄推薦推薦就已經感激不盡了。。 //@嚴彬拉夫:回覆@悠悠耕讀:收我嘛。。。,1,1,1
[哈哈]一流的教學環境，@網際飛俠 一流的老師，值得期待[贊]//@JS-??:愛風光攝影的快報名吧！真的可以快速提升！我是證人[偷笑],1,1,1
酒店環境不錯，挺安靜的。服務也不錯。推薦建德鎮上的胖子新排擋，哪裏的酸菜魚不錯,1,1,1
房間不是很大，但是衛生間裝的很有創意。早餐很好，品種多，而且味道不錯，服務人員的態度也很好。,1,1,1
#Nana酷遊世界100天悠遊臺灣# 面對美食，pp的贈品扇子就被偶無情的拋棄了[嘻嘻] 人家手不夠用嘛~[委屈] @北京有個老頑童 @臺灣自由行 @海峽零距離 @酷訊旅遊 @酷訊旅遊體驗師 #悠遊臺灣個人遊#,1,0,1
送貨迅速，價廉物美，品質也不錯，以後的水果就在京東買了。,1,1,1
前晚大董在玉淵潭開張新店，首次進駐京西[威武][威武][威武]沒做大規模慶典活動，開業當天就已客滿，估計又會羨煞很多同行[偷笑]喜歡新店的燈飾，美輪美奐。漂流木雕也大氣脫俗[愛你]@大董大懂 @紅與黑經典之美,1,1,1
第二次買了，老婆說好就好，好評！,1,1,1
[給力][哈哈][圍觀],1,1,1
活動999買的，不錯的一次購買。,1,1,1
送餐很快，而且百度的減8元很給力,1,1,1
//@雁鳴湖旅遊度假村:[嘻嘻][擠眼]感謝各位的支持，本次新聞發佈會才能如此順利！,1,1,1
配置較均衡，對電腦要求不是很高的人來說完全夠用了，而且聯想的服務值得肯定，機子到目前還沒出現什麼大問題，比上次買的宏?的好多了，而且就在我下單後兩個小時就漲了200，幸虧出手快，到現在還沒降呢！推薦選擇這個！,1,1,1
在長沙各大書店跑了個遍，還是沒有能買到這本詞典（是在上研時我的導師力薦的，但一直沒有去買），幸好有噹噹網，這麼快就讓我擁有了她，抱在手裏很有感覺，比對了以前買的一些英漢詞典，發現確實不一般，詞條要豐富很多，而且註解也很詳盡，唯有要說的是，要是條目能用彩色標註，不全是黑糊糊的，眼睛會好受很多，畢竟字體太小，加點色彩會要柔和一些的：）,1,1,1
