text,tag,label,google
個就是掉落人孔蓋裡。,→,0,0
辦公室跟國家隊成立數量和速度,→,0,1
原來也有養國外的網軍,推,0,0
真的好衰?絕命終結站?..,推,0,0
笑死，有夠噁心的党,噓,0,0
新北不意外 侯議員繼續跳針安居樂業,→,0,0
老師傅又調皮了,推,0,0
難怪工人被人瞧不起 一堆智能不足的都能做,→,0,0
一些噁心的媒體,推,0,0
噓自由，垃圾糞報,噓,0,0
根本就一群求偶焦慮無能男上街怨天尤人,→,0,0
綠共,推,0,0
厲害了 我的黨,推,0,1
黑道權貴詐騙集團越來越開心 外役監,→,0,0
又是党媒一條龍,推,0,0
詐騙 浮屍 光電百分比 物價,推,0,0
股市 房市,推,0,0
幹你媽 民進黨無恥之事又一件 台灣之恥,推,0,0
猴猴出歹事,推,0,0
太可怕了?但騎樓被堵住只能走人行道,→,0,0
台灣工安...,推,0,0
詐騙。房價,推,0,0
17樓掉落的冷氣機?,推,0,0
江湖了，不愧是選舉大黨,→,0,1
還以為是老舊冷氣結果是正在施工,推,0,0
人的尿性,→,0,0
推文有影片 好可憐 那邊還很多人在等公車,→,0,0
呢？可能又震怒一下然後草草結束,→,0,0
法官會不會說行人應注意未注意而不注意？,→,0,0
只要沾上不尊重女性、性騷、仇女 就會毀掉,→,0,0
林義雄、反核仔給我出來下跪道歉 賠償台,→,0,0
不就黨媒 有什麼奇怪,→,0,0
H,→,0,0
台灣公安地獄,→,0,0
詐騙集團民進黨,推,0,0
網軍 詐騙 外役監 黑道 綠媒蟑螂,→,0,0
高調!國民黨不好媒體不會好!!,推,1,0
徵信社去那邊搜集？在起訴一次？二次傷,→,0,0
幹你娘我不要出門了幹,噓,0,0
都市長官派就好,→,0,1
阻止人類增殖的能力進步很多,推,0,0
但他有說錯嗎????,推,0,0
造謠抹黑一條龍,推,0,0
只要是外國人的臉，都算是外國記者,推,1,0
笑死 民進党很會,噓,0,1
不講還以為是中國的新聞呢,推,0,0
台灣工安 嘻嘻,噓,0,1
不敢走在路上惹QQ,推,0,0
噁心 什麼都要演,→,0,0
功德賴：呼叫三粒冥士，開始抹黑帶風向,→,0,0
一條龍又來了 噁爆,→,0,0
好可怕，祝平安康復,推,0,0
網軍蓬勃發展，榮登新創產業榜首,推,0,1
又一個綠斗仔,推,0,0
關鍵字：工人總是愛說我以為?,→,0,0
網軍,→,0,0
若是舊大樓很多是隨便亂裝，也沒有安全,→,0,0
詐騙集團更爽了,→,0,0
果然不是性 就是lie的垃圾黨,→,0,0
真的好扯??,→,0,0
台灣的老舊大樓外牆盆栽招牌冷氣都很危,→,0,0
賴導表示,噓,0,0
走哪邊都不是,推,0,0
三小,推,0,0
笑死，台灣真的好危險,推,0,0
哥布林綠媒一條龍產業,→,0,0
說個笑話台灣公安,推,0,0
罄竹難書,推,0,0
一條龍服務 夠綠共,噓,0,1
出門看是要挑戰交通意外還是工安,→,0,0
資產漲幅,推,0,1
政治迫害,推,0,0
"側翼,網軍,哥布林",推,0,0
真的笑死，大小姐錢瞻計畫讓人民最有感的,推,0,1
這太誇張了...這樣大家走在路上能安心嗎,推,0,0
嘿啊,推,0,1
連外國記者都可以set,推,0,1
老師傅：以前都沒掉阿,推,0,0
安？教育？還是「高科技」？還是去考察怎麼,→,0,1
一定是詐騙 尤其是民進黨,→,0,0
條龍，真的是台灣民主自由的毒瘤耶幹,→,0,0
百公斤重 天啊 rip,→,0,0
良知外漏？,推,0,0
詐騙  薪水,推,0,0
這麼智障怎麼不連人一起跳下去啊 浪費生命,→,0,0
叫蔡母豬先出來跪下道歉,噓,0,0
教改廣設大學的 可以順便嗎,推,0,1
一樣沒救 是非不分的史克魯爾人,→,0,0
就說民進黨非常會守護台灣了,推,0,1
反正效果已經有了 呆丸郎不意外,推,0,1
再繼續僥倖隨便啊!!!人命怎麼賠？,→,0,0
TVBS有現場照片,→,1,1
最好,→,0,1
等公車也可以天降橫禍,→,0,0
乾 到底能不能出門,推,0,0
就算運氣好沒直接砸到人 掉在地上炸裂的,→,0,0
美國專門培養各地暴力 極端組織 然後再扶,推,0,0
外國加工出口區,推,0,0
姐姐就在旁邊目睹一切?,推,0,0
詐騙 房價 物價,推,0,0
一條龍產業,推,0,1
原來民進党是柯文哲養的寵物 難怪這麼,→,0,0
台灣做工的就一群不守法的低端啊,推,0,0
這三小,推,0,1
台灣工安,噓,0,0
房價物價啊，一百元買不到一個雞腿便當,推,0,0
哭了?,推,0,0
男性在台灣是沒有爭辯的餘地 男生錯就是錯,→,0,0
NCC表示非造謠,推,0,0
詐騙啊，國家級詐騙團隊,推,0,0
一條龍失敗,推,0,0
台灣人命不值錢啦,噓,0,0
殺人罪了吧,推,0,0
自產自銷怎麼了嗎,推,0,0
機？還是說要換機時支架爛了撐不住掉下,→,0,0
小菸：冷氣不錯,推,0,1
不要質疑817的智商好嗎,推,0,1
真的懂玩,→,0,1
把新聞當成ptt再玩欸，看風向刪文,推,0,0
詐騙、房價、EE園區,→,0,0
詐騙 黑道 司法不公 物價,推,0,0
一定是因為沒有搞好社會安全網,推,0,0
原來是EE養的,推,0,0
加工出口區 這比喻笑死,推,0,0
ncc印象只有人去爬山生火,→,0,0
從陳瑋豐到現在玩不膩?,推,0,1
黨霉哪個沒拿過黨的錢？歪國人就不准拿,→,0,0
三立記者：新聞自由！！！咦??,噓,0,0
勢力在抹黑帶風向,→,0,0
八卦版又翻車囉,推,0,0
唉 有時我都分不清楚我是在中國還是台灣,噓,0,0
產業一條龍,噓,1,1
從昨天開始一直冒出來,→,1,0
#Metoo,推,0,0
一條龍,→,1,1
什麼改善,→,0,0
了是不是,→,0,0
詐騙行業和黨黑說成白的技巧,→,0,0
好衰喔??幹  R.I.P.,推,0,0
錢真是萬能??,推,0,1
冷氣不錯,推,0,1
現在我印象有日籍也有美籍洋將吧,→,1,1
真的太扯了,推,0,0
好可憐?,推,0,0
老處女母豬被台大破處,推,0,0
打錯字。工安,→,0,0
外國人記者啦 別吵XD,推,0,1
衰小,→,0,0
怎麼又是自己人？！,→,0,0
DPP超有國際觀的 2024非DPP不選！,推,0,1
死塔綠班哥布林  垃圾一條龍,→,0,0
笑死 塔綠班怎麼又被抓包,噓,0,0
為什麼道歉 人家信仰反核錯了嗎 #,推,0,0
17樓 馬的 這重力加速度也太誇張了,→,0,0
先猜勞檢處晚點會出來作秀開罰,噓,0,0
詐騙之光,→,0,0
笑死哈哈哈哈哈哈,→,0,1
照中捷的邏輯來看，新北市政府怎麼會沒,→,0,0
果然根正苗綠,推,1,1
共產黨逐漸治理台灣,→,0,0
賴導!,推,1,1
這個也抓到了XDDDD,噓,0,1
台灣工安就是個笑話,推,0,0
詐騙 從上到下 網媒出事抓阿共來擋,推,0,0
詐騙 豬仔 房價,推,0,0
完全執政一點屁用都沒有,→,0,0
黑道跟詐騙還有浮屍？,推,0,0
台灣人不止主演玩命關頭，絕命終結站也,→,0,1
樣講?,→,0,0
又一個絕命終結站 哀   R.I.P.,推,0,0
這機率...認真丟都不一定砸得到,推,0,0
市長還在選舉 沒空,推,0,0
22歲人生很多計畫才要開始就啪沒了,→,0,0
這篇怎麼沒有塔綠斑 另一篇一堆欸,→,0,0
垃圾一條龍,推,0,0
網軍又在洗貼圖,→,0,0
猴猴選總統,推,0,0
黨媒與側翼 嘻嘻,推,0,1
你以為我會意外嗎 嘻嘻,→,0,1
自己選的政府,推,0,0
詐騙天堂，政府帶頭詐騙,推,0,0
御用洋將,推,0,1
台灣裝冷氣都很克難啊 怎麼看怎麼危險,→,0,0
原來是自由啊 那沒事了 民進黨罩的,→,0,1
看來認知作戰根本是自己人嘛,推,0,0
民主進步黨-導演系-,推,0,0
知好歹，嘻嘻,→,0,1
說個笑話：台灣公安,→,0,0
塔綠班哥布林 八又翻,→,0,0
台灣工安?跟吊車掉到中捷軌道一樣,推,0,0
這就是無恥共產党的認知作戰啊,推,0,0
笑死 八卦翻車,推,0,0
垃圾政黨，手段有夠噁心,推,0,0
單位在上 都分北/中/南 但都是上好看的,→,0,1
讚喔，收錢辦事，NCC不必去查,推,0,1
自己人,推,1,0
樣。,→,0,0
200E好香,推,1,1
噁心哥布林,推,0,0
應該要修法禁止冷氣掛外牆,推,0,0
該成立工安辦公室了嗎？,推,0,0
這種事還真的會發生 天哪 希望最後沒事,推,0,0
新埔捷運站2號出口?乾 人人有機會,推,0,1
極 比當年國民黨還噁心,→,0,0
這個運作方式跟共產黨沒差別了,推,0,0
要掛外面,→,0,0
跟支那一樣欸 用黨養的外國人假裝外媒,→,0,0
我爸之前被招牌砸中肩膀就骨折了?這個,推,0,0
笑死，豬油中天,推,0,1
照片可以不要放那麼大嗎？好噁,推,0,0
幹 太誇張了,推,0,0
太神啦 自由,推,0,1
姊姊會得PTSD吧...QQ,推,0,0
哥布林的噁心程度,推,0,0
跟中國的瑞士專家一樣扯淡,推,0,0
壓力,推,0,0
詐騙 犯罪,推,0,0
日本人都叫你三立不要亂翻譯了,→,0,0
冷氣工人就不重視工安啊，之前不是好幾,推,0,0
法規方面沒有規範新北市長要加油,推,0,0
真的很靠北 以後誰敢在外面,推,0,0
少子化辦公室大成功,推,1,1
這種出口轉內銷的手法居然2023還能用?,推,0,0
施工...工安...,→,0,0
自慰報嘔嘔嘔,→,0,0
上街頭了啊，政府罔顧人命,噓,0,0
塔綠班最多,推,0,1
詐騙 黑道 房價,推,0,0
一條,推,1,0
捷和藍京那一棟嗎?,推,0,0
党證的台灣價值創下歷史新高,噓,0,1
柯粉翻車柯粉崩潰,推,0,0
嘻嘻 蔡導翻車,推,0,1
一條龍達成了 誰管你風向,推,0,1
党才說要檢討結果這次大選一樣照舊,→,0,0
??師傅大概心想應該是我要下去的,推,0,0
新北 沒事 發生在南部再說,→,0,0
我只知道多了一個騙子民眾黨,噓,0,0
原來是黨御用的 我們這裡是中共嗎 民,→,0,0
交通死亡人數 詐騙人數,推,0,0
要不要看中時？,推,0,1
出口轉內銷，贏麻了,推,0,1
然後每個側翼都說自己是轉發就好了 垃圾,推,0,0
訂麵線系統，這個以前都沒人想過。網軍那,推,0,0
厲害了 綠共是玩真的,推,0,1
詐騙和EE園區出貨數量,推,0,0
這党造假不是一天兩天的事了,推,0,0
阿彌陀佛,推,0,1
去的,→,0,0
22歲 就這樣死的莫名奇妙,→,0,0
房價 詐騙犯 黑道 網軍,推,0,0
哥布林又在造假了,推,0,0
新聞一條龍，自產自銷阿,推,0,1
無恥,推,0,0
台北這八年來進步多少？,→,0,0
室外機直接砸落 天啊,→,0,0
哇喔 冷氣超重直接砸頭...,推,0,0
呵呵 出口轉內銷,推,0,1
ㄍ___    絕命終結站,推,0,0
啦？？？,→,0,0
隊都不知道第幾版了，更不簡單,→,0,0
熟悉的三明治最對味。,推,0,1
先進國家都不在反核了?. 愛一定不夠,推,0,0
者 黨的人才真多,→,0,1
你現在手機不是還有電，在那叫什麼,→,0,0
賴導厲害了，真會導,推,0,1
等個公車被砸死真的神扯?,推,0,0
上一篇砸死這篇命危,→,0,0
新北??,推,0,0
詐騙 非常有感,推,0,0
靠夭 等個公車就直接前往天堂路?= =,推,0,0
股市歷史破萬點6年了，很好奇樓主是外國,噓,0,1
這很共產黨 沒問題啊,噓,0,1
窮鬼死刁民只花得起香蕉請猴子裝機,噓,0,0
詐騙案件吧 假新聞,推,0,0
詐騙手法,推,0,0
"小英,想想那邊很多洋將",→,1,0
詐騙.....,推,0,0
下面要淨空一塊空間啊,→,0,0
乾?,噓,0,0
大內宣 對岸現在都會拉外國人幫忙背書說,→,0,0
然後詐騙主謀一堆不起訴逍遙法外 有罪的,推,0,0
安息吧。小女生才22歲欸。人生還沒開始,→,1,0
醫師 律師 教授 現在多加一個外國記,推,0,0
#賴導 #LIE導 #中共同路人 #詐騙DPP,→,0,0
哥布林洋將XDD,→,0,1
執政黨網軍側翼越來越猛,推,0,0
臺灣到底什麼時候才能重視工安,→,0,0
塔綠班字典裡面沒有道歉,→,0,0
記者,→,0,0
光電板 房價詐騙 物價 死亡人數 少子化,推,0,0
詐騙啊 騙39億一下子就放了 還無保釋,推,0,0
央媒 哈哈哈 早說民進黨是老共栽培的,推,0,0
此地無銀大爛黨,推,0,0
omg,推,0,1
賴清德導演 請停止自導自演,→,0,0
綠媒,推,0,0
吃案,推,0,0
根本中共才會做的事,推,0,0
雙腿骨折是像卡通那樣直接扁掉嗎,→,0,0
夭壽喔，嚇死,推,0,0
黨的賤招,推,0,0
東森的新聞寫雙腿骨折頭破了 失去生命跡,→,0,0
應該g了 直接辦後事了,推,0,0
出口轉內銷都看幾年了,→,0,0
本來就該中央控管的 全台公安都是笑話,→,0,0
難怪要把中天電視台撤照,→,0,0
讓工人在外面爬來爬去就很危險了 何況掉下,→,0,0
說話,→,0,0
自產自銷，綠媒一貫的手法,推,0,0
自產自銷一條龍 党媒正常發揮,→,0,1
民進黨果然是中國人的政黨,→,0,0
高材生就這樣沒了,推,0,0
哪個垃圾亂施工,推,0,0
一條龍 党媒死全家,推,0,0
你敢叫大小姐道歉？,推,0,0
"這些媒體真的很噁心,成天造謠",推,0,0
別比,→,0,1
女(母豬)權,→,0,0
養狗千日，用於一時,推,0,0
騎樓沒地方走吧,→,0,0
笑死，曾幾何時自由時報也爛到跟小紅,推,0,0
猴猴做歹誌,→,0,0
乾，也太衰了吧,→,0,0
哦還有房價,→,0,1
哥布靈的等級,→,0,0
置。,→,0,0
三明治綠頭殼不愧是日本人認證,推,0,1
台灣工人都這麼智障 難怪雇主都要請外勞,推,0,0
畜牲,→,0,0
是說侯現在還能回去處理市政嗎 還是已經,→,0,0
幹超可怕,推,0,0
正常發揮,推,0,1
然後就 瘋狂轉傳轉載,→,1,0
原來是自己人,推,0,0
詐騙啊！露臉拍詐騙廣告也沒事,→,0,0
五告雖,推,0,0
這些工人一直都視人命為草芥啊,噓,0,0
共產黨,→,0,0
綠蛆網軍的騙術,→,0,0
這時候NCC又在睡了 呵,推,0,1
外國友人,推,0,0
以前這種都是安裝工人摔死,推,0,0
都啥鬼天氣了 前幾天還給我3點停到6點,→,0,0
些低能人民,→,0,0
我們榮升詐騙天堂啊！,推,0,0
冷氣機該不會是用手扛到外牆上裝吧,推,0,0
絕命終結站,推,0,0
施工品質 有沒有照片？公安狀況有沒有管,推,0,0
外國記者是真的啦 但跟綠共有沒有關,推,0,0
反核的現在在吹冷氣嗎？,推,0,0
商囉,→,0,0
老師傅衝三小,噓,0,1
你敢質疑黨,推,0,0
詐騙阿 整個組織跟兇殘度大起飛,推,0,0
國外一條龍,推,0,1
出來踩腳踏車發電還實際一點點,→,0,0
党養的洋鬼,推,0,0
人生無常。把握當下。,推,0,1
幹你娘 台灣公安就是一堆低端都做不好,噓,0,0
施工不慎笑死 這種爛藉口真好用,噓,0,0
我要是家屬一定殺光那個師傅全家,推,0,0
買鳥籠當然冷氣掛外面偷空間用阿,推,0,0
歧視去遊行活動的男性！,推,0,0
下亂七八糟,→,0,0
看市長要幾天才動作 怒！！！,→,0,0
2023 厄靈亂世 離譜到家,推,0,0
你叫817萬白癡出來回答,→,0,0
中山南路樹蔭下明明就不少女生,推,0,0
很可怕 ....,→,0,0
沒用啦，報導已經流傳開了,推,0,0
沒事兒,→,0,1
新北Zzzzzzzzz,噓,0,1
側翼展翅翱翔,推,1,1
翻車啦,推,0,0
市長忙選舉囉,→,0,0
涼了啦，哥布林們，可悲呀,推,0,0
加油,推,1,1
這跟對面垃圾中共黨操作媒體到底有什,→,0,0
死忠的看不懂英文啦，很好騙,推,0,0
網軍吧,推,0,0
去參加的不都太監宮女,推,0,0
還是說 男性抗議就是低劣的臭肥宅?,→,0,0
幹你娘 一個22歲的生命就這樣倒了 垃,噓,0,0
又是黨媒一條龍! 咦~怎麼會說又呢?,推,0,0
聞自由,→,0,1
幹 這種應該可以避免的,推,0,0
外國記者 結果是民進黨派去的,→,0,0
同一個出口 飯店施工鷹架也很危險 離出,→,0,0
就是沒概念才會去做冷氣 還能要求啥？,噓,0,0
新聞製造業,→,0,0
lie導繼續裝死 噁心,→,0,0
怕 這太扯,推,0,0
詐騙 黑道 娃娃機,推,0,0
工人：先脫產，反正工地領現就好，沒事兒,推,0,0
絕命終結站?.,→,0,0
瑋豐國際版,推,0,0
自己人一起寫假新聞，反正裁判也是自,推,0,0
看到大家的推文，讓我想到一個不那麼負面,推,0,1
這年頭垃圾越來越多了呢,推,0,0
外國記者、美國教授、美女醫生  ，党最喜,推,0,1
你他媽的...冷氣掉下來H,噓,0,0
網軍的經費,推,0,0
垃圾綠共,推,0,0
公安廢到笑,→,0,0
自己選的政府怪誰？台灣工安哈,→,0,0
車可以想停哪就停哪,推,0,1
同婚，軍公教年改，限塑，加蛋15元,推,0,0
物價 狗官口袋,推,0,0
黨真心強 一堆詐騙指引,推,0,0
党產,推,0,0
党媒一條龍抹黑手法,推,0,0
霉體業，直接在影音平台、社群網站,→,0,0
不是摔人就是摔吊具、機器,推,0,0
意外總是來得特別快,推,0,1
真的有人會看新聞喔？台灣基本上有話語,噓,0,0
連外國記者都可以造假？厲害了,推,0,1
操弄媒體的哥布林真噁~~~~,推,0,0
幹這三小拉,噓,0,0
中央的責任比較大,推,0,0
這施工不用圍起來啊，太誇張了吧,推,0,0
太扯了吧,推,0,0
根本義和團,→,0,0
行人死亡數,→,0,0
笑死，這就是不會看風向的白目XD,推,0,0
跟某日本支報一樣,推,0,0
"看大樓的外觀,應該是有個小平台可以擺放",→,0,1
刪三小 留著讓大家笑笑啊,推,0,1
柯文哲，據說是當過國外報社編輯...還要,→,0,0
全部都很進步,→,0,1
DPP洋將真的不少，話說那位波蘭斯坦該,推,1,1
大外宣用的 結果還是拿來內戰了,推,0,0
也太可怕,推,0,0
噁爛黨做噁爛事,推,0,0
自己選的,推,0,1
管它的晚上側翼有題目攻擊政敵就好了,推,0,0
詐騙 炒房,推,0,0
好噁心,推,0,0
幹 一個年輕女學生就這樣死了,推,0,0
負債增加最多,推,0,0
齁齁齁齁。。。,→,0,0
資源在手 風向帶起來 就問怎麼輸,→,0,0
綠色宇宙多一成員：外國記者人,→,0,1
Scam,推,0,0
民主的黑道！！,→,0,0
怕被查到這些基金會是不是有拿政府錢吼,→,0,0
台積電市佔變世界第一,推,0,1
考,→,0,0
厲害了，我的黨,推,0,1
真的慘，對方能賠個幾十萬了不起，關個,推,0,0
進黨執政才8年一直害我有錯覺,→,0,0
這種人應該死刑,推,0,0
下輩子不要住新北囉,→,0,0
大樓裝空調空間不友善,推,0,0
黨管網路 不要太不滿,推,0,0
警察打人,→,0,0
8800億花在哪裡這不就出來了,推,0,0
這救回來也 想到就難過,推,0,0
體育,推,1,1
怎麼又是新北 工安沒人監督嗎,推,0,0
老師傅沒照工安走吧,→,0,0
重傷急救中 上一篇寫遭砸死？,噓,0,0
怎麼沒有血,推,0,0
?可怕,推,0,0
表演,→,0,0
幫QQ了 台灣工安到底..,推,0,0
@@太絕命終結站了吧,推,0,0
太恐怖了吧,→,0,0
都是吱己人,推,0,0
經濟20年來最好啊,推,1,1
加害人人權有非常顯著的提升,推,0,1
幹 新聞也有洋將XDD,噓,0,1
會刪文是他媽家裡死人喔？？幹你娘垃圾,→,0,0
媒體造謠力,推,0,0
人均2萬1變3萬2超車南韓,推,0,1
詐騙、房價、網軍及政客臉皮厚度,推,0,0
17樓..,推,0,0
大內宣一條龍 可以下架三明治了沒,→,0,0
哥布林日常，卑鄙下賤,推,0,0
祖國完全統一 中華民族偉大復興,推,0,1
詐騙到現金買房都沒人覺得異常,推,0,0
沖天炮,→,0,1
本於務實的態度 現在還是先去預習党史,推,0,1
不必去查,→,0,0
菜陰魂執政下的台灣什麼怪事都有,推,0,0
行人地獄等公車都會被砸死,→,0,0
假日本人..假加拿大人..還有啥?,推,0,0
台灣一條龍！,推,0,1
象,→,0,0
市長沒空你們要自立自強,推,0,0
跟開什麼辦公室根本無關 是本來辦的就比,→,0,0
詐騙 博弈 網軍,推,0,0
行人除了記錄器外還要加一個小心高樓冷氣,推,0,1
幹有夠恐怖,推,0,0
大內宣 和共產黨一樣欸,推,0,0
外國人也愛新台幣，嘻嘻,推,0,1
最驕傲的政績 超前部署 台灣不缺電 國,→,0,1
斷交國吧,推,0,0
原來民進黨連側翼都有洋屌,→,0,0
權的 只剩黨媒了不是嗎,→,0,0
仇女柯粉,推,0,0
詐騙 虐殺,推,0,0
